state	year	illicitusepastmon
Illinois	2018	1179000
Indiana	2018	658000
Iowa	2018	247000
Kansas	2018	210000
Kentucky	2018	379000
Louisiana	2018	369000
Maine	2018	203000
Maryland	2018	584000
Massachusetts	2018	939000
Michigan	2018	1218000
Minnesota	2018	498000
Mississippi	2018	214000
Missouri	2018	521000
Montana	2018	140000
Nebraska	2018	150000
Nevada	2018	412000
New Hampshire	2018	181000
New Jersey	2018	697000
New Mexico	2018	245000
New York	2018	1901000
North Carolina	2018	797000
North Dakota	2018	54000
Ohio	2018	983000
Oklahoma	2018	305000
Oregon	2018	709000
Pennsylvania	2018	1071000
Rhode Island	2018	152000
South Carolina	2018	416000
South Dakota	2018	60000
Tennessee	2018	564000
Texas	2018	1814000
Utah	2018	189000
Vermont	2018	111000
Virginia	2018	609000
Washington	2018	1118000
West Virginia	2018	163000
Wisconsin	2018	509000
Wyoming	2018	43000
Alabama	2019	434000
Alaska	2019	110000
Arizona	2019	765000
Arkansas	2019	236000
California	2019	5034000
Colorado	2019	924000
Connecticut	2019	434000
Delaware	2019	118000
District of Columbia	2019	114000
Florida	2019	2093000
Georgia	2019	899000
Hawaii	2019	136000
Idaho	2019	148000
Illinois	2019	1284000
Indiana	2019	700000
Iowa	2019	242000
Kansas	2019	240000
Kentucky	2019	425000
Louisiana	2019	360000
Maine	2019	220000
Maryland	2019	644000
Massachusetts	2019	1008000
Michigan	2019	1312000
Minnesota	2019	534000
Mississippi	2019	225000
Missouri	2019	543000
Montana	2019	147000
Nebraska	2019	149000
Nevada	2019	450000
New Hampshire	2019	185000
New Jersey	2019	765000
New Mexico	2019	243000
New York	2019	2062000
North Carolina	2019	927000
North Dakota	2019	56000
Ohio	2019	1146000
Oklahoma	2019	392000
Oregon	2019	712000
Pennsylvania	2019	1196000
Rhode Island	2019	158000
South Carolina	2019	450000
South Dakota	2019	54000
Tennessee	2019	578000
Texas	2019	2054000
Utah	2019	208000
Vermont	2019	115000
Virginia	2019	654000
Washington	2019	1235000
West Virginia	2019	164000
Wisconsin	2019	537000
Wyoming	2019	42000
Alabama	2021	403000
Alaska	2021	127000
Arizona	2021	1133000
Arkansas	2021	281000
California	2021	5207000
Colorado	2021	995000
Connecticut	2021	482000
Delaware	2021	144000
District of Columbia	2021	133000
Florida	2021	2179000
Georgia	2021	1100000
Hawaii	2021	126000
Idaho	2021	184000
Illinois	2021	1726000
Indiana	2021	740000
Iowa	2021	334000
Kansas	2021	318000
Kentucky	2021	434000
Louisiana	2021	550000
Maine	2021	241000
Maryland	2021	768000
Massachusetts	2021	1102000
Michigan	2021	1627000
Minnesota	2021	672000
Mississippi	2021	325000
Missouri	2021	759000
Montana	2021	163000
Nebraska	2021	183000
Nevada	2021	507000
New Hampshire	2021	180000
New Jersey	2021	1028000
New Mexico	2021	359000
New York	2021	2842000
North Carolina	2021	983000
North Dakota	2021	69000
Ohio	2021	1501000
Oklahoma	2021	568000
Oregon	2021	765000
Pennsylvania	2021	1613000
Rhode Island	2021	187000
South Carolina	2021	546000
South Dakota	2021	73000
Tennessee	2021	695000
Texas	2021	2061000
Utah	2021	293000
Vermont	2021	136000
Virginia	2021	932000
Washington	2021	1283000
West Virginia	2021	218000
Wisconsin	2021	659000
Wyoming	2021	62000
Alabama	2013	304000
Alaska	2013	75000
Arizona	2013	564000
Arkansas	2013	194000
California	2013	3527000
Colorado	2013	641000
Connecticut	2013	302000
Delaware	2013	74000
District of Columbia	2013	83000
Florida	2013	1423000
Georgia	2013	771000
Hawaii	2013	117000
Idaho	2013	89000
Illinois	2013	934000
Indiana	2013	430000
Iowa	2013	188000
Kansas	2013	141000
Kentucky	2013	263000
Louisiana	2013	295000
Maine	2013	130000
Maryland	2013	440000
Massachusetts	2013	658000
Michigan	2013	954000
Minnesota	2013	343000
Mississippi	2013	176000
Missouri	2013	443000
Montana	2013	94000
Nebraska	2013	103000
Nevada	2013	247000
New Hampshire	2013	128000
New Jersey	2013	552000
New Mexico	2013	182000
New York	2013	1645000
North Carolina	2013	607000
North Dakota	2013	38000
Ohio	2013	939000
Oklahoma	2013	240000
Oregon	2013	461000
Pennsylvania	2013	904000
Rhode Island	2013	141000
South Carolina	2013	347000
South Dakota	2013	42000
Tennessee	2013	386000
Texas	2013	1509000
Utah	2013	156000
Vermont	2013	69000
Virginia	2013	544000
Washington	2013	792000
West Virginia	2013	100000
Wisconsin	2013	401000
Wyoming	2013	32000
Alabama	2012	308000
Alaska	2012	80000
Arizona	2012	509000
Arkansas	2012	182000
California	2012	3437000
Colorado	2012	518000
Connecticut	2012	290000
Delaware	2012	71000
District of Columbia	2012	73000
Florida	2012	1352000
Georgia	2012	593000
Hawaii	2012	109000
Idaho	2012	92000
Illinois	2012	931000
Indiana	2012	457000
Iowa	2012	190000
Kansas	2012	127000
Kentucky	2012	259000
Louisiana	2012	260000
Maine	2012	114000
Maryland	2012	356000
Massachusetts	2012	616000
Michigan	2012	905000
Minnesota	2012	369000
Mississippi	2012	188000
Missouri	2012	372000
Montana	2012	97000
Nebraska	2012	102000
Nevada	2012	250000
New Hampshire	2012	117000
New Jersey	2012	592000
New Mexico	2012	192000
New York	2012	1603000
North Carolina	2012	626000
North Dakota	2012	36000
Ohio	2012	917000
Oklahoma	2012	258000
Oregon	2012	454000
Pennsylvania	2012	867000
Rhode Island	2012	140000
South Carolina	2012	345000
South Dakota	2012	47000
Tennessee	2012	381000
Texas	2012	1457000
Utah	2012	132000
Vermont	2012	77000
Virginia	2012	499000
Washington	2012	680000
West Virginia	2012	110000
Wisconsin	2012	391000
Wyoming	2012	33000
Alabama	2011	299000
Alaska	2011	77000
Arizona	2011	509000
Arkansas	2011	182000
California	2011	3213000
Colorado	2011	559000
Connecticut	2011	271000
Delaware	2011	67000
District of Columbia	2011	71000
Florida	2011	1320000
Georgia	2011	517000
Hawaii	2011	95000
Idaho	2011	118000
Illinois	2011	910000
Indiana	2011	479000
Iowa	2011	161000
Kansas	2011	155000
Kentucky	2011	249000
Louisiana	2011	251000
Maine	2011	109000
Maryland	2011	355000
Massachusetts	2011	647000
Michigan	2011	889000
Minnesota	2011	362000
Mississippi	2011	195000
Missouri	2011	362000
Montana	2011	100000
Nebraska	2011	99000
Nevada	2011	218000
New Hampshire	2011	124000
New Jersey	2011	584000
New Mexico	2011	177000
New York	2011	1525000
North Carolina	2011	692000
North Dakota	2011	31000
Ohio	2011	815000
Oklahoma	2011	274000
Oregon	2011	425000
Pennsylvania	2011	862000
Rhode Island	2011	130000
South Carolina	2011	282000
South Dakota	2011	40000
Tennessee	2011	402000
Texas	2011	1442000
Utah	2011	108000
Vermont	2011	83000
Virginia	2011	523000
Washington	2011	670000
West Virginia	2011	125000
Wisconsin	2011	369000
Wyoming	2011	33000
