state	yyyymm	year	temp_degf	precip_in
MO	201801	2018	28	1.64
MO	201901	2019	31	3.04
MO	202001	2020	34.5	4.41
MO	202101	2021	33.6	3.32
MO	202201	2022	28.4	1.7
MO	202301	2023	37.3	2.67
MT	200701	2007	21.8	0.72
MT	200801	2008	18.1	1.26
MT	200901	2009	21.1	1.34
MT	201001	2010	20.6	1.08
MT	201101	2011	19.1	1.77
MT	201201	2012	25.1	1.23
MT	201301	2013	21.7	1.05
MT	201401	2014	24.5	1.21
MT	201501	2015	24.7	1.18
MT	201601	2016	23.4	0.91
MT	201701	2017	15.2	0.91
MT	201801	2018	21.7	1.16
MT	201901	2019	24.7	1.04
MT	202001	2020	23.4	1.2
MT	202101	2021	26.7	0.75
MT	202201	2022	22.9	0.97
MT	202301	2023	22.9	0.78
NE	200701	2007	21.6	0.58
NE	200801	2008	21.3	0.19
NE	200901	2009	25.5	0.44
NE	201001	2010	22.1	0.37
NE	201101	2011	20.4	0.93
NE	201201	2012	30.4	0.16
NE	201301	2013	25.5	0.32
NE	201401	2014	25.4	0.22
NE	201501	2015	27.2	0.21
NE	201601	2016	26	0.4
NE	201701	2017	24.8	1.01
NE	201801	2018	23	0.72
NE	201901	2019	26.4	0.25
NE	202001	2020	27.2	0.58
NE	202101	2021	29.3	0.66
NE	202201	2022	25.6	0.25
NE	202301	2023	24.8	1.57
NV	200701	2007	27.4	0.33
NV	200801	2008	27.6	1.48
NV	200901	2009	34.4	0.87
NV	201001	2010	32.9	1.45
NV	201101	2011	32.9	0.29
NV	201201	2012	35	0.95
NV	201301	2013	26	0.68
NV	201401	2014	37.1	0.51
NV	201501	2015	37.7	0.5
NV	201601	2016	31.1	1.72
NV	201701	2017	29.1	2.88
NV	201801	2018	38.5	0.96
NV	201901	2019	34.1	1.32
NV	202001	2020	35.3	0.7
NV	202101	2021	33.7	0.95
NV	202201	2022	34.2	0.14
NV	202301	2023	29.2	2.32
NH	200701	2007	21.5	3.17
NH	200801	2008	22	2.58
NH	200901	2009	12.3	3.04
NH	201001	2010	21.1	2.78
NH	201101	2011	16.8	2.57
NH	201201	2012	22.7	3.21
NH	201301	2013	20.2	1.98
NH	201401	2014	16.5	3.46
NH	201501	2015	14.6	3.35
NH	201601	2016	22.9	1.97
NH	201701	2017	25.7	2.82
NH	201801	2018	18.3	4.14
NH	201901	2019	18	5.41
NH	202001	2020	25.2	2.74
NH	202101	2021	23	2.15
NH	202201	2022	14.8	2.17
NH	202301	2023	29.2	5.41
NJ	200701	2007	36.7	3.6
NJ	200801	2008	34.3	2.06
NJ	200901	2009	26.9	2.93
NJ	201001	2010	31.2	2.64
NJ	201101	2011	27.2	3.33
NJ	201201	2012	35.6	2.78
NJ	201301	2013	33.9	3
NJ	201401	2014	26	3.12
NJ	201501	2015	27.9	4.43
NJ	201601	2016	31.4	3.19
NJ	201701	2017	36.2	3.71
NJ	201801	2018	29.2	2.72
NJ	201901	2019	31.6	4.49
NJ	202001	2020	37.3	2.29
NJ	202101	2021	33.7	1.86
NJ	202201	2022	28.6	3.37
NJ	202301	2023	41.2	3.68
NM	200701	2007	30.8	1.04
NM	200801	2008	32.5	0.61
NM	200901	2009	37.8	0.2
NM	201001	2010	33.6	1.44
NM	201101	2011	33.8	0.08
NM	201201	2012	38.6	0.28
NM	201301	2013	32	0.5
NM	201401	2014	36.4	0.03
NM	201501	2015	35.6	1.41
NM	201601	2016	34.3	0.52
NM	201701	2017	37.2	1.71
NM	201801	2018	37	0.16
NM	201901	2019	35.6	0.55
NM	202001	2020	37.1	0.52
NM	202101	2021	35.1	0.48
NM	202201	2022	35.7	0.35
NM	202301	2023	35.7	0.81
NY	200701	2007	25.2	3.97
NY	200801	2008	25.9	2.06
NY	200901	2009	15	2.53
NY	201001	2010	21.8	2.41
NY	201101	2011	18.6	2.01
NY	201201	2012	26	3.29
NY	201301	2013	24.3	2.12
NY	201401	2014	16.9	2.6
NY	201501	2015	16.2	2.34
NY	201601	2016	23.7	1.73
NY	201701	2017	27.9	3.4
NY	201801	2018	19.1	3.45
NY	201901	2019	19.4	4.43
NY	202001	2020	27.7	2.78
NY	202101	2021	24	2.06
NY	202201	2022	15.8	2.06
NY	202301	2023	30.6	4.02
NC	200701	2007	44.2	3.64
NC	200801	2008	40.1	1.87
NC	200901	2009	38.7	2.83
NC	201001	2010	36.6	5
NC	201101	2011	36.2	1.95
NC	201201	2012	43.9	2.86
NC	201301	2013	44.1	4.69
NC	201401	2014	35.3	3.29
NC	201501	2015	39.4	3.95
NC	201601	2016	38.4	2.8
NC	201701	2017	45.4	3.96
NC	201801	2018	35.9	3.79
NC	201901	2019	42	3.85
NC	202001	2020	46	4.37
NC	202101	2021	40.8	4.63
NC	202201	2022	38.7	4.8
NC	202301	2023	46.8	4.46
ND	200701	2007	13.7	0.14
ND	200801	2008	9.6	0.1
ND	200901	2009	5	0.63
ND	201001	2010	9.7	0.79
ND	201101	2011	6.4	0.96
ND	201201	2012	20	0.33
ND	201301	2013	11.4	0.34
ND	201401	2014	8.5	0.41
ND	201501	2015	16	0.48
ND	201601	2016	14.6	0.22
ND	201701	2017	11.2	0.48
ND	201801	2018	11.8	0.23
ND	201901	2019	9.8	0.42
ND	202001	2020	12.9	0.38
ND	202101	2021	21	0.25
ND	202201	2022	8.7	0.45
ND	202301	2023	13.1	0.18
OH	200701	2007	33	4.51
OH	200801	2008	29.1	2.36
OH	200901	2009	20.8	2.47
OH	201001	2010	25	1.76
OH	201101	2011	23.5	1.47
OH	201201	2012	32.1	3.38
OH	201301	2013	30.5	2.61
OH	201401	2014	19.8	2.08
OH	201501	2015	24.4	2.46
OH	201601	2016	27.2	1.34
OH	201701	2017	34.6	4.06
OH	201801	2018	25	2.31
OH	201901	2019	27.4	3.42
OH	202001	2020	34.9	3.51
OH	202101	2021	30.9	1.98
OH	202201	2022	24	2.32
OH	202301	2023	36.6	4.23
OK	200701	2007	35.1	2.16
OK	200801	2008	38.3	0.51
OK	200901	2009	37.5	0.66
OK	201001	2010	35.2	1.86
OK	201101	2011	35	0.28
OK	201201	2012	42.7	1.86
OK	201301	2013	39.7	1.77
OK	201401	2014	36	0.33
OK	201501	2015	37.7	1.21
OK	201601	2016	38.2	0.5
OK	201701	2017	40.9	2.59
OK	201801	2018	36.6	0.53
OK	201901	2019	38.3	2.1
OK	202001	2020	42.2	3.6
OK	202101	2021	39.7	2.25
OK	202201	2022	37	0.65
OK	202301	2023	42.4	1.28
OR	200701	2007	30.2	2.62
OR	200801	2008	28.5	5.87
OR	200901	2009	34.2	2.95
OR	201001	2010	36.9	4.52
OR	201101	2011	33.9	3.15
OR	201201	2012	34.4	5.82
OR	201301	2013	29.7	2.6
OR	201401	2014	36.7	2.35
OR	201501	2015	38.1	1.98
OR	201601	2016	33.1	5.16
OR	201701	2017	26.7	5.01
OR	201801	2018	37.5	4.14
OR	201901	2019	35.3	3.48
OR	202001	2020	34.9	6.75
OR	202101	2021	34.8	4.51
OR	202201	2022	34.8	3.17
OR	202301	2023	32.3	2.75
PA	200701	2007	31.3	3.79
PA	200801	2008	29.2	2.03
PA	200901	2009	20.5	2.68
PA	201001	2010	25.7	3.08
PA	201101	2011	22.5	1.9
PA	201201	2012	30	3.36
PA	201301	2013	29	2.97
PA	201401	2014	19.6	2.32
PA	201501	2015	22.5	2.44
PA	201601	2016	25.4	2.39
PA	201701	2017	31.8	3.82
PA	201801	2018	23.1	3.28
PA	201901	2019	25.8	4.27
PA	202001	2020	32.2	3.05
PA	202101	2021	29.4	1.79
PA	202201	2022	22.5	2.54
PA	202301	2023	35.9	3.84
RI	200701	2007	32.8	4.01
RI	200801	2008	31.7	2.88
RI	200901	2009	23.4	3.81
RI	201001	2010	28.4	3.29
RI	201101	2011	25.2	4.06
RI	201201	2012	33.5	3.3
RI	201301	2013	30.4	1.86
RI	201401	2014	26.1	3.31
RI	201501	2015	25.5	3.71
RI	201601	2016	31.3	3.2
RI	201701	2017	34.2	4.84
RI	201801	2018	27.6	5.79
RI	201901	2019	29	6.42
RI	202001	2020	35.3	1.5
RI	202101	2021	31.3	2.29
RI	202201	2022	27	3.44
RI	202301	2023	38	6.64
SC	200701	2007	48.4	3.66
SC	200801	2008	43.9	2.88
SC	200901	2009	44.2	2.05
SC	201001	2010	40.7	4.92
SC	201101	2011	40.6	1.87
SC	201201	2012	48.3	2.19
SC	201301	2013	50.2	2.48
SC	201401	2014	39.7	3.15
SC	201501	2015	43.8	3.56
SC	201601	2016	43	2.83
SC	201701	2017	51.4	4.88
SC	201801	2018	40.6	2.82
SC	201901	2019	46.7	3.6
SC	202001	2020	50.3	4.12
SC	202101	2021	46	4.66
SC	202201	2022	43.7	4.17
SC	202301	2023	50.5	5.77
SD	200701	2007	20.1	0.19
SD	200801	2008	16.2	0.23
SD	200901	2009	16.7	0.4
SD	201001	2010	14.8	0.61
SD	201101	2011	13	0.93
SD	201201	2012	25.4	0.41
SD	201301	2013	19.4	0.45
SD	201401	2014	18.3	0.24
SD	201501	2015	22.7	0.27
SD	201601	2016	19.8	0.27
SD	201701	2017	16.5	0.68
SD	201801	2018	18.1	0.3
SD	201901	2019	18	0.49
SD	202001	2020	20.1	0.41
SD	202101	2021	26.5	0.31
SD	202201	2022	19.1	0.21
SD	202301	2023	19.9	0.8
TN	200701	2007	40.2	4.12
TN	200801	2008	36.4	3.45
TN	200901	2009	35.3	4.61
TN	201001	2010	32.8	5.3
TN	201101	2011	33.9	3.18
TN	201201	2012	42.4	4.88
TN	201301	2013	41	8.64
TN	201401	2014	30	2.7
TN	201501	2015	36.1	2.81
TN	201601	2016	34.8	2.76
TN	201701	2017	44.9	4.24
TN	201801	2018	32.9	2.55
TN	201901	2019	39.4	5.78
TN	202001	2020	43	6.73
TN	202101	2021	39.7	3.32
TN	202201	2022	35.5	6.06
TN	202301	2023	44.9	6.42
TX	200701	2007	42.5	3.55
TX	200801	2008	46.1	0.94
TX	200901	2009	47.9	0.4
TX	201001	2010	44.4	2.37
TX	201101	2011	45	1.55
TX	201201	2012	50.4	2.27
TX	201301	2013	47.9	2.46
TX	201401	2014	44.5	0.37
TX	201501	2015	44	2.67
TX	201601	2016	46.4	0.95
TX	201701	2017	50.8	2.28
TX	201801	2018	43.8	0.64
TX	201901	2019	47.2	1.5
TX	202001	2020	50.7	1.96
TX	202101	2021	47.3	1.7
TX	202201	2022	45.8	0.69
TX	202301	2023	51.5	1.39
UT	200701	2007	22.4	0.53
UT	200801	2008	22.8	1.67
UT	200901	2009	29.5	1.12
UT	201001	2010	27	1.58
UT	201101	2011	25.4	0.39
UT	201201	2012	31	0.97
UT	201301	2013	19.7	1.01
UT	201401	2014	30.4	0.61
UT	201501	2015	32.1	0.92
UT	201601	2016	26.6	1.42
UT	201701	2017	25.9	2.76
UT	201801	2018	32.8	0.86
UT	201901	2019	27	1.51
UT	202001	2020	28.7	0.77
UT	202101	2021	28.1	0.74
UT	202201	2022	29.4	0.31
UT	202301	2023	26.1	2.81
VT	200701	2007	19.6	3.49
VT	200801	2008	21.5	2.39
VT	200901	2009	10.9	2.77
VT	201001	2010	20.1	2.51
VT	201101	2011	15.7	2.29
VT	201201	2012	21.4	2.95
VT	201301	2013	18.6	1.87
VT	201401	2014	14.6	3.11
VT	201501	2015	12.2	2.79
VT	201601	2016	20.9	1.62
VT	201701	2017	24.8	2.53
VT	201801	2018	16.5	3.49
VT	201901	2019	14.9	5.05
VT	202001	2020	23.4	2.82
VT	202101	2021	20.5	2.17
VT	202201	2022	11.8	1.44
VT	202301	2023	27.4	4.19
WA	200701	2007	28.6	5.11
WA	200801	2008	27.4	5.79
WA	200901	2009	30.1	6.23
WA	201001	2010	36.3	6.24
WA	201101	2011	32.1	6.53
WA	201201	2012	30.7	6.35
WA	201301	2013	29.1	3.97
WA	201401	2014	34.1	4.42
WA	201501	2015	35.1	4.96
WA	201601	2016	33	6.82
WA	201701	2017	24.8	3.64
WA	201801	2018	35.4	7.74
WA	201901	2019	34.2	4.51
WA	202001	2020	34.2	10.52
WA	202101	2021	34.6	7.37
WA	202201	2022	31.4	6.58
WA	202301	2023	33.4	4.25
WV	200701	2007	35.5	3.47
WV	200801	2008	30.8	2.92
WV	200901	2009	27.2	4.49
WV	201001	2010	27.7	3.58
WV	201101	2011	27.1	2.25
WV	201201	2012	34.9	3.09
WV	201301	2013	33.9	4.41
WV	201401	2014	23.5	2.25
WV	201501	2015	28.8	2.41
WV	201601	2016	27.6	2.61
WV	201701	2017	37.5	4.8
WV	201801	2018	27	3.11
WV	201901	2019	32	3.86
WV	202001	2020	37.3	3.65
WV	202101	2021	32.6	2.78
WV	202201	2022	27.3	4.86
WV	202301	2023	38.9	3.47
WI	200701	2007	20.3	0.93
WI	200801	2008	14.7	1.32
WI	200901	2009	6.1	0.63
WI	201001	2010	15.1	0.89
WI	201101	2011	12.2	0.91
WI	201201	2012	20.8	1.02
WI	201301	2013	16.8	1.69
WI	201401	2014	6	1.13
WI	201501	2015	15.3	0.53
WI	201601	2016	16.2	0.84
WI	201701	2017	19.4	2.03
WI	201801	2018	15.2	1.2
WI	201901	2019	13.1	1.43
WI	202001	2020	21.5	1.34
WI	202101	2021	20.3	0.84
WI	202201	2022	9.2	0.49
WI	202301	2023	23	1.71
WY	200701	2007	16.5	0.7
WY	200801	2008	16.2	1.07
WY	200901	2009	23.4	1.34
WY	201001	2010	22.2	0.59
WY	201101	2011	20.3	1.01
WY	201201	2012	25.1	0.92
WY	201301	2013	19.9	0.74
WY	201401	2014	23.3	0.94
WY	201501	2015	25.6	0.62
WY	201601	2016	22.7	0.87
WY	201701	2017	16.7	1.66
WY	201801	2018	25.1	0.9
WY	201901	2019	22	0.9
WY	202001	2020	23.8	1.02
WY	202101	2021	23.4	0.68
WY	202201	2022	23	0.78
WY	202301	2023	19.8	1.53
DC	200701	2007	41.8	2.46
DC	200801	2008	39.4	1.38
DC	200901	2009	32.3	2.68
DC	201001	2010	36	1.56
DC	201101	2011	34.4	2.25
DC	201201	2012	41	2.2
DC	201301	2013	39.8	2.54
DC	201401	2014	31	2.58
DC	201501	2015	33.9	3.73
DC	201601	2016	35	2.68
DC	201701	2017	42.2	2.76
DC	201801	2018	35.8	0.94
DC	201901	2019	37.3	3.3
DC	202001	2020	42.4	2.8
DC	202101	2021	38.6	1.93
